sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,dola,fanda,50,-0.14,0.0,0.04,0.78,0.18
,truthfulqa,mc1,dola,panda_switch,50,-0.08,0.0,0.02,0.88,0.1
,truthfulqa,mc1,dola,pure_greedy,50,-0.08,0.0,0.06,0.8,0.14
,truthfulqa,mc1,dola,top_k,50,-0.08,0.0,0.06,0.8,0.14
,truthfulqa,mc1,dola,top_p,50,-0.1,0.0,0.06,0.78,0.16
,truthfulqa,mc1,fanda,dola,50,0.14,0.0,0.18,0.78,0.04
,truthfulqa,mc1,fanda,panda_switch,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,fanda,pure_greedy,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,fanda,top_k,50,0.06,0.0,0.08,0.9,0.02
,truthfulqa,mc1,fanda,top_p,50,0.04,0.0,0.08,0.88,0.04
,truthfulqa,mc1,panda_switch,dola,50,0.08,0.0,0.1,0.88,0.02
,truthfulqa,mc1,panda_switch,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,panda_switch,pure_greedy,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,panda_switch,top_k,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,panda_switch,top_p,50,-0.02,0.0,0.06,0.86,0.08
,truthfulqa,mc1,pure_greedy,dola,50,0.08,0.0,0.14,0.8,0.06
,truthfulqa,mc1,pure_greedy,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,pure_greedy,panda_switch,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,pure_greedy,top_k,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,pure_greedy,top_p,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,top_k,dola,50,0.08,0.0,0.14,0.8,0.06
,truthfulqa,mc1,top_k,fanda,50,-0.06,0.0,0.02,0.9,0.08
,truthfulqa,mc1,top_k,panda_switch,50,0.0,0.0,0.06,0.88,0.06
,truthfulqa,mc1,top_k,pure_greedy,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,top_k,top_p,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,top_p,dola,50,0.1,0.0,0.16,0.78,0.06
,truthfulqa,mc1,top_p,fanda,50,-0.04,0.0,0.04,0.88,0.08
,truthfulqa,mc1,top_p,panda_switch,50,0.02,0.0,0.08,0.86,0.06
,truthfulqa,mc1,top_p,pure_greedy,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,top_p,top_k,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc2,dola,fanda,50,-0.030501304779028317,-1.0726681337288769e-26,0.46,0.02,0.52
,truthfulqa,mc2,dola,panda_switch,50,-0.036069139651531766,-1.16197296466617e-18,0.46,0.02,0.52
,truthfulqa,mc2,dola,pure_greedy,50,-0.00437264738214097,1.8984709173980975e-14,0.5,0.0,0.5
,truthfulqa,mc2,dola,top_k,50,-0.00432844867505819,1.8984709031635347e-14,0.5,0.0,0.5
,truthfulqa,mc2,dola,top_p,50,-0.005214685336770779,2.6922810749884928e-14,0.5,0.0,0.5
,truthfulqa,mc2,fanda,dola,50,0.030501304779028317,1.0726681337288769e-26,0.52,0.02,0.46
,truthfulqa,mc2,fanda,panda_switch,50,-0.0055678348725034495,-1.5927936129008117e-11,0.36,0.02,0.62
,truthfulqa,mc2,fanda,pure_greedy,50,0.026128657396887363,-2.3524829889460437e-09,0.36,0.0,0.64
,truthfulqa,mc2,fanda,top_k,50,0.026172856103970132,-2.3151574624296424e-09,0.36,0.0,0.64
,truthfulqa,mc2,fanda,top_p,50,0.02528661944225754,-3.1682750509303654e-09,0.36,0.0,0.64
