sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,dola,fanda,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,dola,pure_greedy,50,0.0,0.0,0.1,0.8,0.1
,truthfulqa,mc1,fanda,dola,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,fanda,pure_greedy,50,0.02,0.0,0.1,0.82,0.08
,truthfulqa,mc1,pure_greedy,dola,50,0.0,0.0,0.1,0.8,0.1
,truthfulqa,mc1,pure_greedy,fanda,50,-0.02,0.0,0.08,0.82,0.1
,truthfulqa,mc2,dola,fanda,50,-0.09703355582967292,-1.7186706652227882e-302,0.16,0.34,0.5
,truthfulqa,mc2,dola,pure_greedy,50,0.05826184161366239,-3.405629171027428e-19,0.44,0.04,0.52
,truthfulqa,mc2,fanda,dola,50,0.09703355582967292,1.7186706652227882e-302,0.5,0.34,0.16
,truthfulqa,mc2,fanda,pure_greedy,50,0.15529539744333534,5.2013948703688584e-14,0.54,0.02,0.44
,truthfulqa,mc2,pure_greedy,dola,50,-0.05826184161366239,3.405629171027428e-19,0.52,0.04,0.44
,truthfulqa,mc2,pure_greedy,fanda,50,-0.15529539744333534,-5.2013948703688584e-14,0.44,0.02,0.54
,truthfulqa,mc3,dola,fanda,50,-0.011999999999999997,0.0,0.08,0.78,0.14
,truthfulqa,mc3,dola,pure_greedy,50,0.024333333333333332,0.0,0.2,0.6,0.2
,truthfulqa,mc3,fanda,dola,50,0.011999999999999997,0.0,0.14,0.78,0.08
,truthfulqa,mc3,fanda,pure_greedy,50,0.03633333333333333,0.0,0.26,0.56,0.18
,truthfulqa,mc3,pure_greedy,dola,50,-0.024333333333333332,0.0,0.2,0.6,0.2
,truthfulqa,mc3,pure_greedy,fanda,50,-0.03633333333333333,0.0,0.18,0.56,0.26
