sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,dola,fanda,50,-0.04,0.0,0.08,0.8,0.12
,truthfulqa,mc1,dola,pure_greedy,50,-0.04,0.0,0.06,0.84,0.1
,truthfulqa,mc1,fanda,dola,50,0.04,0.0,0.12,0.8,0.08
,truthfulqa,mc1,fanda,pure_greedy,50,0.0,0.0,0.08,0.84,0.08
,truthfulqa,mc1,pure_greedy,dola,50,0.04,0.0,0.1,0.84,0.06
,truthfulqa,mc1,pure_greedy,fanda,50,0.0,0.0,0.08,0.84,0.08
,truthfulqa,mc2,dola,fanda,50,-0.03630193989797552,2.9021285374852823e-11,0.54,0.0,0.46
,truthfulqa,mc2,dola,pure_greedy,50,0.03635474172645815,7.580772309889738e-08,0.54,0.0,0.46
,truthfulqa,mc2,fanda,dola,50,0.03630193989797552,-2.9021285374852823e-11,0.46,0.0,0.54
,truthfulqa,mc2,fanda,pure_greedy,50,0.07265668162443369,-4.253355836881972e-11,0.44,0.0,0.56
,truthfulqa,mc2,pure_greedy,dola,50,-0.03635474172645815,-7.580772309889738e-08,0.46,0.0,0.54
,truthfulqa,mc2,pure_greedy,fanda,50,-0.07265668162443369,4.253355836881972e-11,0.56,0.0,0.44
,truthfulqa,mc3,dola,fanda,50,-0.01333333333333333,0.0,0.16,0.68,0.16
,truthfulqa,mc3,dola,pure_greedy,50,-0.01666666666666666,0.0,0.12,0.74,0.14
,truthfulqa,mc3,fanda,dola,50,0.01333333333333333,0.0,0.16,0.68,0.16
,truthfulqa,mc3,fanda,pure_greedy,50,-0.0033333333333333305,0.0,0.18,0.64,0.18
,truthfulqa,mc3,pure_greedy,dola,50,0.01666666666666666,0.0,0.14,0.74,0.12
,truthfulqa,mc3,pure_greedy,fanda,50,0.0033333333333333305,0.0,0.18,0.64,0.18
