sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,dola,fanda,50,0.0,0.0,0.08,0.84,0.08
,truthfulqa,mc1,dola,pure_greedy,50,-0.06,0.0,0.06,0.82,0.12
,truthfulqa,mc1,fanda,dola,50,0.0,0.0,0.08,0.84,0.08
,truthfulqa,mc1,fanda,pure_greedy,50,-0.06,0.0,0.06,0.82,0.12
,truthfulqa,mc1,pure_greedy,dola,50,0.06,0.0,0.12,0.82,0.06
,truthfulqa,mc1,pure_greedy,fanda,50,0.06,0.0,0.12,0.82,0.06
,truthfulqa,mc2,dola,fanda,50,-0.009201201792097418,-1.0356597052594764e-17,0.46,0.02,0.52
,truthfulqa,mc2,dola,pure_greedy,50,-0.023833657329361442,-3.753032679715492e-06,0.34,0.02,0.64
,truthfulqa,mc2,fanda,dola,50,0.009201201792097418,1.0356597052594764e-17,0.52,0.02,0.46
,truthfulqa,mc2,fanda,pure_greedy,50,-0.01463245553726402,-0.0001572748714905897,0.32,0.02,0.66
,truthfulqa,mc2,pure_greedy,dola,50,0.023833657329361442,3.753032679715492e-06,0.64,0.02,0.34
,truthfulqa,mc2,pure_greedy,fanda,50,0.01463245553726402,0.0001572748714905897,0.66,0.02,0.32
,truthfulqa,mc3,dola,fanda,50,0.0016666666666666642,0.0,0.22,0.6,0.18
,truthfulqa,mc3,dola,pure_greedy,50,-0.03966666666666667,0.0,0.1,0.7,0.2
,truthfulqa,mc3,fanda,dola,50,-0.0016666666666666642,0.0,0.18,0.6,0.22
,truthfulqa,mc3,fanda,pure_greedy,50,-0.04133333333333334,0.0,0.1,0.7,0.2
,truthfulqa,mc3,pure_greedy,dola,50,0.03966666666666667,0.0,0.2,0.7,0.1
,truthfulqa,mc3,pure_greedy,fanda,50,0.04133333333333334,0.0,0.2,0.7,0.1
